strategy,historical_sensors,historical_observations_per_sensor,historical_observations,live_sensors,historical_scale_relative_to_live,repetition,random_seed,evaluation_time,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
aggregate-pushdown,50000,100,5000000,100,500.000000,3,7,3000000,3.177250,3.169208,0.008083,50000,5000000,5000000,50000,0,600000,601200,2,100,14789835742191583177
aggregate-pushdown,50000,100,5000000,100,500.000000,4,7,3000000,3.396916,3.388083,0.008833,50000,5000000,5000000,50000,0,600000,601200,2,100,14789835742191583177
bind-join,50000,100,5000000,100,500.000000,0,7,3000000,0.011042,0.006375,0.004708,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,50000,100,5000000,100,500.000000,1,7,3000000,0.014583,0.008750,0.005792,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,50000,100,5000000,100,500.000000,2,7,3000000,0.014625,0.008667,0.006000,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,50000,100,5000000,100,500.000000,3,7,3000000,0.010500,0.006208,0.004292,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,50000,100,5000000,100,500.000000,4,7,3000000,0.010375,0.006167,0.004250,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
fetch-all,100000,100,10000000,100,1000.000000,0,7,3000000,6.654000,6.644083,0.009875,100000,10000000,10000000,10000000,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,100,10000000,100,1000.000000,1,7,3000000,6.934625,6.922000,0.012667,100000,10000000,10000000,10000000,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,100,10000000,100,1000.000000,2,7,3000000,6.658292,6.649458,0.008792,100000,10000000,10000000,10000000,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,100,10000000,100,1000.000000,3,7,3000000,7.717459,7.702542,0.014917,100000,10000000,10000000,10000000,0,240000000,240001200,2,100,14789835742191583177
fetch-all,100000,100,10000000,100,1000.000000,4,7,3000000,6.535167,6.523042,0.012166,100000,10000000,10000000,10000000,0,240000000,240001200,2,100,14789835742191583177
aggregate-pushdown,100000,100,10000000,100,1000.000000,0,7,3000000,6.678875,6.670000,0.008833,100000,10000000,10000000,100000,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,100,10000000,100,1000.000000,1,7,3000000,6.420292,6.411292,0.009000,100000,10000000,10000000,100000,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,100,10000000,100,1000.000000,2,7,3000000,6.916834,6.907500,0.009375,100000,10000000,10000000,100000,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,100,10000000,100,1000.000000,3,7,3000000,6.712834,6.702917,0.009958,100000,10000000,10000000,100000,0,1200000,1201200,2,100,14789835742191583177
aggregate-pushdown,100000,100,10000000,100,1000.000000,4,7,3000000,6.951875,6.936042,0.015833,100000,10000000,10000000,100000,0,1200000,1201200,2,100,14789835742191583177
bind-join,100000,100,10000000,100,1000.000000,0,7,3000000,0.011958,0.006959,0.005000,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,100,10000000,100,1000.000000,1,7,3000000,0.011750,0.006958,0.004792,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,100,10000000,100,1000.000000,2,7,3000000,0.018333,0.013583,0.004708,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,100,10000000,100,1000.000000,3,7,3000000,0.011625,0.006875,0.004750,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
bind-join,100000,100,10000000,100,1000.000000,4,7,3000000,0.011416,0.006708,0.004708,100,10000,10000,100,400,1200,2800,2,100,14789835742191583177
