plan,live_selectivity,metadata_selectivity,repetition,active_live_sources,metadata_eligible_sources,intersection_sources,live_sources_contacted,metadata_requests,historical_sources_contacted,historical_sources_skipped,live_rows_transferred,metadata_rows_transferred,historical_rows_transferred,join_key_rows_transferred,raw_bytes_transferred,aggregate_bytes_transferred,join_key_bytes_transferred,metadata_bytes_transferred,total_bytes_transferred,historical_records_scanned,join_input_rows_left,join_input_rows_right,join_output_rows,total_execution_ms,live_phase_ms,metadata_phase_ms,historical_phase_ms,join_ms,coordinator_ms,result_count,result_hash
CentralFetchAll,10,25,0,10,25,0,100,1,100,0,2400,25,1000000,0,80000000,0,0,1800,80193800,1000000,2400,25,0,0.002084,0.001667,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,10,25,0,10,25,0,100,1,100,0,2400,25,100,0,0,4800,0,1800,198600,1000000,2400,25,0,0.002167,0.001708,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,10,25,0,10,25,0,100,1,10,90,2400,25,10,0,0,480,0,1800,194280,100000,2400,25,0,0.001916,0.001458,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,10,25,0,10,25,0,25,1,25,75,0,25,25,0,0,1200,0,1800,3000,250000,0,25,0,0.001834,0.001375,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,10,25,0,10,25,0,100,1,0,100,2400,0,0,10,0,0,400,0,192400,0,10,0,0,0.002000,0.001375,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
CentralFetchAll,10,50,0,10,50,8,100,1,100,0,2400,50,1000000,0,80000000,0,0,3600,80195600,1000000,2400,50,1920,0.318958,0.002792,0.000042,0.000042,0.000042,0.000000,1920,17436870847114633577
AggregateAll,10,50,0,10,50,8,100,1,100,0,2400,50,100,0,0,4800,0,3600,200400,1000000,2400,50,1920,0.317792,0.002250,0.000041,0.000041,0.000041,0.000000,1920,17436870847114633577
LiveFirst,10,50,0,10,50,8,100,1,10,90,2400,50,10,0,0,480,0,3600,196080,100000,2400,50,1920,0.317125,0.002125,0.000041,0.000041,0.000041,0.000000,1920,17436870847114633577
MetadataFirst,10,50,0,10,50,8,50,1,50,50,1920,50,50,0,0,2400,0,3600,159600,500000,1920,50,1920,0.316541,0.002208,0.000042,0.000042,0.000042,0.000000,1920,17436870847114633577
LiveMetadataSemiJoin,10,50,0,10,50,8,100,1,8,92,2400,8,8,18,0,384,720,576,193680,80000,10,8,8,0.292834,0.002209,0.000042,0.000042,0.000042,0.000000,1920,17436870847114633577
CentralFetchAll,10,75,0,10,75,10,100,1,100,0,2400,75,1000000,0,80000000,0,0,5400,80197400,1000000,2400,75,2400,0.335167,0.002792,0.000042,0.000042,0.000042,0.000000,2400,3061608234642138009
AggregateAll,10,75,0,10,75,10,100,1,100,0,2400,75,100,0,0,4800,0,5400,202200,1000000,2400,75,2400,0.339833,0.002500,0.000042,0.000041,0.000041,0.000000,2400,3061608234642138009
LiveFirst,10,75,0,10,75,10,100,1,10,90,2400,75,10,0,0,480,0,5400,197880,100000,2400,75,2400,0.335417,0.002333,0.000042,0.000000,0.000000,0.000000,2400,3061608234642138009
MetadataFirst,10,75,0,10,75,10,75,1,75,25,2400,75,75,0,0,3600,0,5400,201000,750000,2400,75,2400,0.335333,0.002250,0.000042,0.000041,0.000041,0.000000,2400,3061608234642138009
LiveMetadataSemiJoin,10,75,0,10,75,10,100,1,10,90,2400,10,10,20,0,480,800,720,194000,100000,10,10,10,0.335000,0.002250,0.000042,0.000041,0.000041,0.000000,2400,3061608234642138009
CentralFetchAll,10,100,0,10,100,10,100,1,100,0,2400,100,1000000,0,80000000,0,0,7200,80199200,1000000,2400,100,2400,0.336250,0.003084,0.000042,0.000042,0.000042,0.000000,2400,3061608234642138009
AggregateAll,10,100,0,10,100,10,100,1,100,0,2400,100,100,0,0,4800,0,7200,204000,1000000,2400,100,2400,0.331750,0.002583,0.000042,0.000041,0.000041,0.000000,2400,3061608234642138009
LiveFirst,10,100,0,10,100,10,100,1,10,90,2400,100,10,0,0,480,0,7200,199680,100000,2400,100,2400,0.335041,0.002500,0.000042,0.000042,0.000042,0.000000,2400,3061608234642138009
MetadataFirst,10,100,0,10,100,10,100,1,100,0,2400,100,100,0,0,4800,0,7200,204000,1000000,2400,100,2400,0.334833,0.002458,0.000000,0.000041,0.000041,0.000000,2400,3061608234642138009
LiveMetadataSemiJoin,10,100,0,10,100,10,100,1,10,90,2400,10,10,20,0,480,800,720,194000,100000,10,10,10,0.334916,0.002291,0.000000,0.000042,0.000042,0.000000,2400,3061608234642138009
CentralFetchAll,25,1,0,25,1,0,100,1,100,0,6000,1,1000000,0,80000000,0,0,72,80480072,1000000,6000,1,0,0.001916,0.001541,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,25,1,0,25,1,0,100,1,100,0,6000,1,100,0,0,4800,0,72,484872,1000000,6000,1,0,0.001375,0.000958,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,25,1,0,25,1,0,100,1,25,75,6000,1,25,0,0,1200,0,72,481272,250000,6000,1,0,0.001333,0.000917,0.000042,0.000000,0.000000,0.000000,0,14695981039346656037
MetadataFirst,25,1,0,25,1,0,1,1,1,99,0,1,1,0,0,48,0,72,120,10000,0,1,0,0.001291,0.000916,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,25,1,0,25,1,0,100,1,0,100,6000,0,0,25,0,0,1000,0,481000,0,25,0,0,0.001417,0.000917,0.000000,0.000042,0.000042,0.000000,0,14695981039346656037
CentralFetchAll,25,5,0,25,5,0,100,1,100,0,6000,5,1000000,0,80000000,0,0,360,80480360,1000000,6000,5,0,0.001792,0.001417,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,25,5,0,25,5,0,100,1,100,0,6000,5,100,0,0,4800,0,360,485160,1000000,6000,5,0,0.001625,0.001250,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveFirst,25,5,0,25,5,0,100,1,25,75,6000,5,25,0,0,1200,0,360,481560,250000,6000,5,0,0.001375,0.001000,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,25,5,0,25,5,0,5,1,5,95,0,5,5,0,0,240,0,360,600,50000,0,5,0,0.001416,0.001000,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,25,5,0,25,5,0,100,1,0,100,6000,0,0,25,0,0,1000,0,481000,0,25,0,0,0.001584,0.001000,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
CentralFetchAll,25,10,0,25,10,0,100,1,100,0,6000,10,1000000,0,80000000,0,0,720,80480720,1000000,6000,10,0,0.001916,0.001541,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,25,10,0,25,10,0,100,1,100,0,6000,10,100,0,0,4800,0,720,485520,1000000,6000,10,0,0.001667,0.001292,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,25,10,0,25,10,0,100,1,25,75,6000,10,25,0,0,1200,0,720,481920,250000,6000,10,0,0.001583,0.001208,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,25,10,0,25,10,0,10,1,10,90,0,10,10,0,0,480,0,720,1200,100000,0,10,0,0.001542,0.001167,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,25,10,0,25,10,0,100,1,0,100,6000,0,0,25,0,0,1000,0,481000,0,25,0,0,0.001584,0.001125,0.000000,0.000041,0.000041,0.000000,0,14695981039346656037
CentralFetchAll,25,25,0,25,25,0,100,1,100,0,6000,25,1000000,0,80000000,0,0,1800,80481800,1000000,6000,25,0,0.002334,0.001959,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,25,25,0,25,25,0,100,1,100,0,6000,25,100,0,0,4800,0,1800,486600,1000000,6000,25,0,0.002167,0.001792,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveFirst,25,25,0,25,25,0,100,1,25,75,6000,25,25,0,0,1200,0,1800,483000,250000,6000,25,0,0.001916,0.001500,0.000042,0.000000,0.000000,0.000000,0,14695981039346656037
MetadataFirst,25,25,0,25,25,0,25,1,25,75,0,25,25,0,0,1200,0,1800,3000,250000,0,25,0,0.001959,0.001584,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,25,25,0,25,25,0,100,1,0,100,6000,0,0,25,0,0,1000,0,481000,0,25,0,0,0.002125,0.001542,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
CentralFetchAll,25,50,0,25,50,8,100,1,100,0,6000,50,1000000,0,80000000,0,0,3600,80483600,1000000,6000,50,1920,0.270125,0.002792,0.000042,0.000042,0.000042,0.000000,1920,17436870847114633577
AggregateAll,25,50,0,25,50,8,100,1,100,0,6000,50,100,0,0,4800,0,3600,488400,1000000,6000,50,1920,0.275250,0.002250,0.000042,0.000042,0.000042,0.000000,1920,17436870847114633577
LiveFirst,25,50,0,25,50,8,100,1,25,75,6000,50,25,0,0,1200,0,3600,484800,250000,6000,50,1920,0.245417,0.002042,0.000042,0.000042,0.000042,0.000000,1920,17436870847114633577
