evaluation_index,plan,operator_id,operator_type,operator_location,input_rows,output_rows,bytes_received,bytes_sent,requests,execution_ms
47,LiveFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000000
47,LiveFirst,join,HashJoin,coordinator,1210,0,0,0,0,0.000000
48,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,10,0.000334
48,MetadataFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000000
48,MetadataFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
48,MetadataFirst,join,BindJoin,coordinator,10,0,0,0,0,0.000000
49,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000292
49,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,200,1,0.000000
49,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,5,0,200,200,1,0.000000
49,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000000
49,LiveMetadataSemiJoin,join,SemiJoin,coordinator,5,0,0,0,0,0.000000
50,CentralFetchAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000791
50,CentralFetchAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000000
50,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
50,CentralFetchAll,join,HashJoin,coordinator,1225,0,0,0,0,0.000000
51,AggregateAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000542
51,AggregateAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000000
51,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
51,AggregateAll,join,HashJoin,coordinator,1225,0,0,0,0,0.000000
52,LiveFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000500
52,LiveFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000000
52,LiveFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000041
52,LiveFirst,join,HashJoin,coordinator,1225,0,0,0,0,0.000042
53,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,25,0.000500
53,MetadataFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000042
53,MetadataFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000000
53,MetadataFirst,join,BindJoin,coordinator,25,0,0,0,0,0.000000
54,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000458
54,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,200,1,0.000041
54,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,5,0,200,200,1,0.000042
