strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,live_fraction,repetition,random_seed,evaluation_time,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
aggregate-pushdown,100000,10000000,100,30000,0.30000000,1,7,3000000,8.080250,6.608959,1.471209,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
aggregate-pushdown,100000,10000000,100,30000,0.30000000,2,7,3000000,8.809708,7.303083,1.506625,100000,10000000,10000000,100000,30000,0,1200000,1560000,2,30000,138459467198387563
bind-join,100000,10000000,100,30000,0.30000000,0,7,3000000,8.743834,7.193833,1.549959,30000,3000000,3000000,30000,30000,120000,360000,840000,2,30000,138459467198387563
bind-join,100000,10000000,100,30000,0.30000000,1,7,3000000,8.494333,7.068542,1.425750,30000,3000000,3000000,30000,30000,120000,360000,840000,2,30000,138459467198387563
bind-join,100000,10000000,100,30000,0.30000000,2,7,3000000,8.876875,7.440959,1.435916,30000,3000000,3000000,30000,30000,120000,360000,840000,2,30000,138459467198387563
fetch-all,100000,10000000,100,35000,0.35000000,0,7,3000000,8.565459,6.809125,1.756375,100000,10000000,10000000,10000000,35000,0,240000000,240420000,2,35000,18049935134905709799
fetch-all,100000,10000000,100,35000,0.35000000,1,7,3000000,18.454250,8.682041,9.772125,100000,10000000,10000000,10000000,35000,0,240000000,240420000,2,35000,18049935134905709799
fetch-all,100000,10000000,100,35000,0.35000000,2,7,3000000,10.995416,8.497958,2.497417,100000,10000000,10000000,10000000,35000,0,240000000,240420000,2,35000,18049935134905709799
aggregate-pushdown,100000,10000000,100,35000,0.35000000,0,7,3000000,10.182167,7.574583,2.607791,100000,10000000,10000000,100000,35000,0,1200000,1620000,2,35000,18049935134905709799
aggregate-pushdown,100000,10000000,100,35000,0.35000000,1,7,3000000,9.432708,7.686000,1.746583,100000,10000000,10000000,100000,35000,0,1200000,1620000,2,35000,18049935134905709799
aggregate-pushdown,100000,10000000,100,35000,0.35000000,2,7,3000000,9.363375,7.695334,1.668125,100000,10000000,10000000,100000,35000,0,1200000,1620000,2,35000,18049935134905709799
bind-join,100000,10000000,100,35000,0.35000000,0,7,3000000,12.619042,10.673209,1.945834,35000,3500000,3500000,35000,35000,140000,420000,980000,2,35000,18049935134905709799
bind-join,100000,10000000,100,35000,0.35000000,1,7,3000000,11.558792,9.773375,1.785375,35000,3500000,3500000,35000,35000,140000,420000,980000,2,35000,18049935134905709799
bind-join,100000,10000000,100,35000,0.35000000,2,7,3000000,12.415750,10.601542,1.814250,35000,3500000,3500000,35000,35000,140000,420000,980000,2,35000,18049935134905709799
fetch-all,100000,10000000,100,50000,0.50000000,0,7,3000000,9.862208,7.140459,2.721917,100000,10000000,10000000,10000000,50000,0,240000000,240600000,2,50000,3994464885379507475
