strategy,total_source_pairs,active_live_sources,active_live_fraction,repetition,logical_query_count,logical_branch_count,live_sources_declared,historical_sources_declared,live_sources_contacted,live_sources_with_results,historical_sources_contacted,historical_sources_skipped,source_requests,historical_records_scanned,historical_records_returned,raw_records_transferred,aggregate_rows_transferred,total_bytes_transferred,total_execution_ms,live_phase_ms,historical_phase_ms,coordinator_ms,query_parse_ms,query_lowering_ms,query_decomposition_ms,result_count,result_hash
live-first-source-selection,100,50,0.50,3,1,100,100,100,100,50,50,50,150,500000,50,0,50,1200,14.338958,0.012042,14.321125,0.004625,0.841458,0.000000,0.933166,50,17774635009270182749
live-first-source-selection,100,50,0.50,4,1,100,100,100,100,50,50,50,150,500000,50,0,50,1200,14.295375,0.016208,14.274333,0.003667,0.841458,0.000000,0.933166,50,17774635009270182749
fetch-all-sources,100,75,0.75,0,1,100,100,100,100,75,100,0,200,1000000,1000000,1000000,0,118920900,136.254833,0.021667,136.219166,0.012291,0.825875,0.000042,0.942750,75,16026610672052418408
fetch-all-sources,100,75,0.75,1,1,100,100,100,100,75,100,0,200,1000000,1000000,1000000,0,118920900,135.274334,0.025584,135.235292,0.011792,0.825875,0.000042,0.942750,75,16026610672052418408
fetch-all-sources,100,75,0.75,2,1,100,100,100,100,75,100,0,200,1000000,1000000,1000000,0,118920900,152.857917,0.030375,152.812583,0.013167,0.825875,0.000042,0.942750,75,16026610672052418408
fetch-all-sources,100,75,0.75,3,1,100,100,100,100,75,100,0,200,1000000,1000000,1000000,0,118920900,135.240417,0.029833,135.197500,0.011500,0.825875,0.000042,0.942750,75,16026610672052418408
fetch-all-sources,100,75,0.75,4,1,100,100,100,100,75,100,0,200,1000000,1000000,1000000,0,118920900,134.351875,0.029792,134.310084,0.010250,0.825875,0.000042,0.942750,75,16026610672052418408
aggregate-all-sources,100,75,0.75,0,1,100,100,100,100,75,100,0,200,1000000,100,0,100,2100,29.672459,0.021292,29.644375,0.005542,0.825875,0.000042,0.942750,75,16026610672052418408
aggregate-all-sources,100,75,0.75,1,1,100,100,100,100,75,100,0,200,1000000,100,0,100,2100,29.717625,0.017750,29.691209,0.007500,0.825875,0.000042,0.942750,75,16026610672052418408
aggregate-all-sources,100,75,0.75,2,1,100,100,100,100,75,100,0,200,1000000,100,0,100,2100,29.725875,0.023375,29.694042,0.006916,0.825875,0.000042,0.942750,75,16026610672052418408
aggregate-all-sources,100,75,0.75,3,1,100,100,100,100,75,100,0,200,1000000,100,0,100,2100,29.020875,0.022667,28.990791,0.005875,0.825875,0.000042,0.942750,75,16026610672052418408
aggregate-all-sources,100,75,0.75,4,1,100,100,100,100,75,100,0,200,1000000,100,0,100,2100,28.732583,0.021792,28.703958,0.005291,0.825875,0.000042,0.942750,75,16026610672052418408
live-first-source-selection,100,75,0.75,0,1,100,100,100,100,75,75,25,175,750000,75,0,75,1800,21.216042,0.015458,21.193250,0.006042,0.825875,0.000042,0.942750,75,16026610672052418408
live-first-source-selection,100,75,0.75,1,1,100,100,100,100,75,75,25,175,750000,75,0,75,1800,21.470459,0.020667,21.443042,0.005459,0.825875,0.000042,0.942750,75,16026610672052418408
live-first-source-selection,100,75,0.75,2,1,100,100,100,100,75,75,25,175,750000,75,0,75,1800,21.381500,0.016708,21.358375,0.005292,0.825875,0.000042,0.942750,75,16026610672052418408
live-first-source-selection,100,75,0.75,3,1,100,100,100,100,75,75,25,175,750000,75,0,75,1800,21.277833,0.014791,21.257250,0.004750,0.825875,0.000042,0.942750,75,16026610672052418408
live-first-source-selection,100,75,0.75,4,1,100,100,100,100,75,75,25,175,750000,75,0,75,1800,21.370667,0.014416,21.348208,0.006875,0.825875,0.000042,0.942750,75,16026610672052418408
fetch-all-sources,100,100,1.00,0,1,100,100,100,100,100,100,0,200,1000000,1000000,1000000,0,118921200,133.406709,0.030042,133.363375,0.011375,0.842042,0.000041,0.937459,100,11622410121917591052
fetch-all-sources,100,100,1.00,1,1,100,100,100,100,100,100,0,200,1000000,1000000,1000000,0,118921200,131.200167,0.023583,131.162042,0.012750,0.842042,0.000041,0.937459,100,11622410121917591052
fetch-all-sources,100,100,1.00,2,1,100,100,100,100,100,100,0,200,1000000,1000000,1000000,0,118921200,131.635042,0.025458,131.596125,0.011875,0.842042,0.000041,0.937459,100,11622410121917591052
fetch-all-sources,100,100,1.00,3,1,100,100,100,100,100,100,0,200,1000000,1000000,1000000,0,118921200,131.162375,0.023250,131.125250,0.012709,0.842042,0.000041,0.937459,100,11622410121917591052
fetch-all-sources,100,100,1.00,4,1,100,100,100,100,100,100,0,200,1000000,1000000,1000000,0,118921200,132.178000,0.025833,132.133917,0.017000,0.842042,0.000041,0.937459,100,11622410121917591052
aggregate-all-sources,100,100,1.00,0,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,29.506834,0.019459,29.480209,0.006042,0.842042,0.000041,0.937459,100,11622410121917591052
aggregate-all-sources,100,100,1.00,1,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,28.908000,0.017791,28.883541,0.005542,0.842042,0.000041,0.937459,100,11622410121917591052
aggregate-all-sources,100,100,1.00,2,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,29.466167,0.017958,29.441375,0.005792,0.842042,0.000041,0.937459,100,11622410121917591052
aggregate-all-sources,100,100,1.00,3,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,29.529458,0.017417,29.505584,0.005416,0.842042,0.000041,0.937459,100,11622410121917591052
aggregate-all-sources,100,100,1.00,4,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,29.026083,0.017458,29.000708,0.006792,0.842042,0.000041,0.937459,100,11622410121917591052
live-first-source-selection,100,100,1.00,0,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,28.440042,0.017958,28.413583,0.007250,0.842042,0.000041,0.937459,100,11622410121917591052
live-first-source-selection,100,100,1.00,1,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,28.558583,0.018333,28.533500,0.005334,0.842042,0.000041,0.937459,100,11622410121917591052
live-first-source-selection,100,100,1.00,2,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,28.653166,0.017041,28.629333,0.005583,0.842042,0.000041,0.937459,100,11622410121917591052
live-first-source-selection,100,100,1.00,3,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,28.491083,0.017250,28.464584,0.008125,0.842042,0.000041,0.937459,100,11622410121917591052
live-first-source-selection,100,100,1.00,4,1,100,100,100,100,100,100,0,200,1000000,100,0,100,2400,28.416667,0.016791,28.392875,0.005875,0.842042,0.000041,0.937459,100,11622410121917591052
